source_id,title,url_or_path,source_type,published_at,accessed_at,commit_sha,license,relevance,notes
B01,Antithesis homepage,https://antithesis.com/,official_site,undated,2026-07-21,,proprietary,positioning+claims,"75+ severe bugs; 40x/10x claims; customer quotes"
B02,Antithesis product page,https://antithesis.com/product/,official_site,undated,2026-07-21,,proprietary,deployment+FAQ,"VPC option; AWS Marketplace; no free tier; dhyve mention"
B03,Antithesis about,https://antithesis.com/company/about/,official_site,undated,2026-07-21,,proprietary,lineage+funding,"FDB 2009→Apple 2015→Antithesis Jan 2018; $47M seed; $105M Series A Jane Street"
B04,Is something bugging you?,https://antithesis.com/blog/is_something_bugging_you/,official_blog,2024-02-13,2026-07-21,,proprietary,lineage+vision,"launch post; MongoDB/Ethereum/Palantir named"
B05,So you think you want to write a deterministic hypervisor?,https://antithesis.com/blog/deterministic_hypervisor/,official_blog,2024-03-20,2026-07-21,,proprietary,substrate,"bhyve fork; VMX; 1 core/VM; virtual clock; PMC nondeterminism; VMCALL input tree"
B06,Debugging in the Multiverse,https://antithesis.com/blog/multiverse_debugging/,official_blog,2024-09-10,2026-07-21,,proprietary,debugging,"multiverse debugging coined; rewind/gdb/pcap retroactively; snapshotting confirmed"
B07,When your customer leads your Series A,https://antithesis.com/blog/2025/series_a/,official_blog,2025-12-03,2026-07-21,,proprietary,funding,"$105M Series A led by Jane Street (customer)"
B08,Depth is all you need: Gradius,https://antithesis.com/blog/2025/gradius/,official_blog,2025-02-21,2026-07-21,,proprietary,exploration,"tactics/strategies; tree fuzzing; FabiusStrategy; rollouts"
B09,Hunting for one-in-a-million bugs in NATS,https://antithesis.com/blog/2025/synadia/,customer_story,2025-03-18,2026-07-21,,proprietary,bug-finding evidence,"Synadia-authored; Raft data-loss path; vendor-hosted"
B10,Antithesis report: Tigris Data,https://antithesis.com/blog/2026/tigris_report/,customer_report,2026-04-21,2026-07-21,,proprietary,bug-finding evidence+scale,"3 cache-coherence bugs; 20.37M states/211k executions"
B11,Antithesis launches Kubernetes support,https://antithesis.com/blog/2025/kubernetes_launch/,official_blog,2025-11-05,2026-07-21,,proprietary,deployment,"k3s single-node simulated cluster"
B12,Antithesis skills for agents,https://antithesis.com/blog/2026/agent_skills/,official_blog,2026-03-25,2026-07-21,,proprietary,agent integration,"antithesis-research/setup/workload skills; onboarding-pain admission"
B13,At the Mountains of Madness,https://antithesis.com/blog/madness/,official_blog,2024-07-10,2026-07-21,,proprietary,engineering culture,"NixOS everywhere; madness loader"
B14,Welcome to Antithesis (docs),https://antithesis.com/docs/introduction/welcome/,official_docs,undated,2026-07-21,,proprietary,mental model,"staging-environment framing"
B15,How Antithesis works (docs),https://antithesis.com/docs/introduction/how_antithesis_works/,official_docs,undated,2026-07-21,,proprietary,exploration,"RL guidance quote; multiverse framing"
B16,The Antithesis environment (docs),https://antithesis.com/docs/configuration/the_antithesis_environment/,official_docs,undated,2026-07-21,,proprietary,substrate config,"6.1 kernel; Skylake x86-64 only; 10GB RAM; seeded /dev/random; fast-forward"
B17,Fault injection overview (docs),https://antithesis.com/docs/concepts/fault_injection/,official_docs,undated,2026-07-21,,proprietary,fault model,"network/node/clock/thread-pause/CPU/custom faults; ANTITHESIS_STOP_FAULTS"
B18,SDKs (docs),https://antithesis.com/docs/reference/sdk/,official_docs,undated,2026-07-21,,proprietary,interfaces,"Go/Java/C/C++/JS/Python/Rust/.NET + fallback; no-op in prod"
B19,Assertions in Antithesis (docs),https://antithesis.com/docs/concepts/properties_assertions/assertions/,official_docs,undated,2026-07-21,,proprietary,properties,"always/alwaysOrUnreachable/reachable/unreachable/sometimes; assertions are clues"
B20,Antithesis Assertion Schema (docs),https://antithesis.com/docs/reference/sdk/fallback/schema/,official_docs,undated,2026-07-21,,proprietary,fallback API,"JSONL antithesis_assert schema; must_hit semantics"
B21,Test commands reference (docs),https://antithesis.com/docs/product/test_templates/test_composer_reference/,official_docs,undated,2026-07-21,,proprietary,workload model,"7 command prefixes with scheduling/fault semantics — reimplementable"
B22,Test templates (docs),https://antithesis.com/docs/product/test_templates/,official_docs,undated,2026-07-21,,proprietary,workload model,"template=client+checker; granularity guidance"
B23,Coverage instrumentation (docs),https://antithesis.com/docs/reference/instrumentation/coverage_instrumentation/,official_docs,undated,2026-07-21,,proprietary,guidance,"basic-block callbacks; enables thread pausing; line-association"
B24,Simple Multiverse debugging (docs),https://antithesis.com/docs/product/debugging/simple_mvd/,official_docs,undated,2026-07-21,,proprietary,debugging workflow,"10-30min session; bash at any moment; auto-artifacts"
B25,Causality analysis (docs),https://antithesis.com/docs/product/debugging/causality_analysis/,official_docs,undated,2026-07-21,,proprietary,root cause,"rewind+re-explore; bug-probability-over-time — reimplementable algorithm"
B26,When did the bug start? (blog),https://antithesis.com/blog/2026/causality_analysis/,official_blog,2026-05-11,2026-07-21,,proprietary,root cause,"causality analysis announcement"
B27,Triage report (docs),https://antithesis.com/docs/product/reports/,official_docs,undated,2026-07-21,,proprietary,artifacts,"Findings/Environment/Utilization/Properties sections"
B28,Product FAQs (docs),https://antithesis.com/docs/faq/customer_faq/,official_docs,undated,2026-07-21,,proprietary,ops+pricing signals,"test hours=duration×cores; nightly 6-8h; 200MB/sim-hour logs"
B29,Setup guide (docs),https://antithesis.com/docs/getting_started/setup_guide/,official_docs,undated,2026-07-21,,proprietary,packaging,"Docker Compose or Kubernetes; Antithesis registry"
B30,Information security policy,https://antithesis.com/legal/security/,official_legal,undated,2026-07-21,,proprietary,tenancy/security,"per-tenant parallel infra; ISO27001 AWS/GCP; 30-day OSS bug disclosure"
B31,DST explainer,https://antithesis.com/docs/resources/deterministic_simulation_testing/,official_docs,undated,2026-07-21,,proprietary,DST context,"FDB+AWS ~2010 simultaneous invention; Strange Loop 2014"
B32,Antithesis Learn index,https://antithesis.com/learn/,official_site,undated,2026-07-21,,proprietary,publication map,"blog/podcast/talk chronology; Bug Bash Europe Sept 30 2026"
B33,Antithesis sitemap,https://antithesis.com/sitemap-0.xml,official_site,undated,2026-07-21,,proprietary,coverage,"exhaustive URL inventory; no shrink/minimize docs found"
B34,antithesis-skills repo,https://github.com/antithesishq/antithesis-skills/tree/d6f291e99650f7d885c464baab7c3b83fbbc6241,official_github,undated,2026-07-21,d6f291e99650f7d885c464baab7c3b83fbbc6241,Apache-2.0,agent integration,"agent skills for one-shot Antithesis onboarding; pinned per validator"
B35,vibe-halt repository (audited),https://github.com/AmitabhainArunachala/vibe-halt/tree/84f911e585b11e366c4185b5c301de6e088d07b7,local_repo,2026-07-21,2026-07-21,84f911e585b11e366c4185b5c301de6e088d07b7,none,audit target,"pinned public commit; no LICENSE file"
C01,TigerBeetle repo,https://github.com/tigerbeetle/tigerbeetle/tree/97c7a8ef38,repo,2026-07-19,2026-07-21,97c7a8ef38,Apache-2.0,critical,"src/vopr.zig + src/testing/* inspected; fault params + swarm testing + checker lattice"
C02,TigerBeetle VOPR docs,https://github.com/tigerbeetle/tigerbeetle/blob/97c7a8ef38/docs/internals/vopr.md,doc,2026,2026-07-21,97c7a8ef38,Apache-2.0,critical,"seed+commit replay identity; assertions-as-force-multiplier"
C03,packet_simulator.zig source,https://raw.githubusercontent.com/tigerbeetle/tigerbeetle/97c7a8ef38/src/testing/packet_simulator.zig,code,2026,2026-07-21,97c7a8ef38,Apache-2.0,critical,"PacketSimulatorOptions: delay/loss/replay/partition hysteresis/clog fields"
C04,fuzz.zig source,https://raw.githubusercontent.com/tigerbeetle/tigerbeetle/97c7a8ef38/src/testing/fuzz.zig,code,2026,2026-07-21,97c7a8ef38,Apache-2.0,high,"random_enum_weights = production swarm testing"
C05,Stateright repo,https://github.com/stateright/stateright/tree/ab8c8be934,repo,2025-07-27,2026-07-21,ab8c8be934,MIT,critical,"v0.31.0; actor.rs/checker.rs/spawn.rs inspected; Expectation DSL + discovery paths + UDP spawn"
C06,Shuttle repo,https://github.com/awslabs/shuttle/tree/c8a46d3965,repo,2026-06-16,2026-07-21,c8a46d3965,Apache-2.0,critical,"shuttle-schedulers/{pct,replay,dfs,urw}.rs inspected; PCT per Burckhardt 2010 via Coyote"
C07,Burckhardt et al. PCT paper (ASPLOS 2010),https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/asplos277-pct.pdf,paper,2010,2026-07-21,,,high,"probabilistic bug-finding guarantee; cited in Shuttle pct.rs"
C08,FoundationDB testing docs,https://apple.github.io/foundationdb/testing.html,doc,live,2026-07-21,,Apache-2.0,critical,"single-thread deterministic cluster sim; swizzle-clogging"
C09,apple/foundationdb repo,https://github.com/apple/foundationdb/tree/3d64ad40be,repo,2026-07-21,2026-07-21,3d64ad40be,Apache-2.0,high,"fdbrpc/sim2.cpp + fdbserver/SimulatedCluster.cpp present"
C10,Will Wilson StrangeLoop 2014 talk,https://www.youtube.com/watch?v=4fFDFbi3toc,talk,2014,2026-07-21,,,high,"canonical FDB simulation talk; Wilson later co-founded Antithesis"
C11,Loom repo,https://github.com/tokio-rs/loom/tree/948c8cc78b,repo,2026-02-20,2026-07-21,948c8cc78b,MIT,high,"C11 permutation checker; tool for vibe-halt's own scheduler"
C12,Turmoil repo,https://github.com/tokio-rs/turmoil/tree/684acc1a8e,repo,2026-07-21,2026-07-21,684acc1a8e,MIT,high,"crate family turmoil-net/fs/io-uring; seeded RNG fault control; bakeoff baseline"
C13,MadSim repo,https://github.com/madsim-rs/madsim/tree/519950efb4,repo,2026-02-16,2026-07-21,519950efb4,Apache-2.0,high,"tokio-compatible sim runtime; RisingWave production use"
C14,RisingWave DST writeup,https://www.risingwave.com/blog/deterministic-simulation-a-new-era-of-distributed-system-testing/,blog,2022,2026-07-21,,,medium,"linked from MadSim README"
C15,Jepsen repo,https://github.com/jepsen-io/jepsen/tree/1b3780adf1,repo,2026-07-20,2026-07-21,1b3780adf1,EPL-1.0,high,"black-box histories + nemesis; history-as-evidence model"
C16,Maelstrom repo,https://github.com/jepsen-io/maelstrom/tree/480a819702,repo,2026-07-10,2026-07-21,480a819702,EPL-1.0,medium,"stdin/stdout workload protocol; fixture format inspiration"
C17,P repo,https://github.com/p-org/P/tree/099c8b7dae,repo,2026-07-21,2026-07-21,099c8b7dae,MIT,medium,"state-machine monitors; AWS usage reported"
C18,TLA+ tools repo,https://github.com/tlaplus/tlaplus/tree/30cc360132,repo,2026-07-18,2026-07-21,30cc360132,MIT,medium,"TLC model checker; counterexample-as-artifact"
C19,Apalache repo,https://github.com/apalache-mc/apalache/tree/d9f0633ebd,repo,2026-07-10,2026-07-21,d9f0633ebd,Apache-2.0,low,"symbolic TLA+"
C20,Alloy repo,https://github.com/AlloyTools/org.alloytools.alloy/tree/ed89fdb16c,repo,2026-06-11,2026-07-21,ed89fdb16c,MIT,low,"bounded relational model finding"
C21,FizzBee repo,https://github.com/FizzBee-io/fizzbee/tree/0f2c824854,repo,2026-07-08,2026-07-21,0f2c824854,Apache-2.0,medium,"engineer-friendly model checker; watch-list"
C22,Coyote repo,https://github.com/microsoft/coyote/tree/f2c135d201,repo,2024-12-11,2026-07-21,f2c135d201,MIT,medium,"stale; PCT implementation Shuttle cites"
C23,Hermit repo,https://github.com/facebookexperimental/hermit/tree/2d67d22eb7,repo,2026-07-21,2026-07-21,2d67d22eb7,BSD-style,medium,"process-level deterministic replay; Tier-2 reference"
C24,rr repo,https://github.com/rr-debugger/rr/tree/fb97ee8f83,repo,2026-07-20,2026-07-21,fb97ee8f83,MIT,medium,"record/replay debugger"
C25,AFL++ repo,https://github.com/AFLplusplus/AFLplusplus/tree/ad5304010a,repo,2026-07-21,2026-07-21,ad5304010a,AGPL-3.0,medium,"coverage-guided fuzzing; AGPL = do not link"
C26,LibAFL repo,https://github.com/AFLplusplus/LibAFL/tree/f749dbf8aa,repo,2026-07-12,2026-07-21,f749dbf8aa,Apache-2.0 OR MIT,medium,"modular Rust fuzzing framework"
C27,cargo-fuzz repo,https://github.com/rust-fuzz/cargo-fuzz/tree/bf2fc668da,repo,2026-07-20,2026-07-21,bf2fc668da,Apache-2.0,medium,"boundary fuzzing per DESIGN.md criterion 10"
C28,Groce et al. Swarm Testing (ISSTA 2012),https://dl.acm.org/doi/10.1145/2338965.2336763,paper,2012,2026-07-21,,,high,"feature-mask diversity; production impl in TigerBeetle fuzz.zig"
C29,Chaos Mesh repo,https://github.com/chaos-mesh/chaos-mesh/tree/37ef27f7e7,repo,2026-07-21,2026-07-21,37ef27f7e7,Apache-2.0,low,"K8s runtime chaos, no determinism"
C30,Chaos Monkey repo,https://github.com/Netflix/chaosmonkey/tree/eaa28fb761,repo,2025-01-06,2026-07-21,eaa28fb761,Apache-2.0,low,"stale; Netflix chaos lineage (FIT/ChAP not OSS)"
C31,Molly (LDFI) repo,https://github.com/palvaro/molly/tree/a3a6d79508,repo,2018-11-04,2026-07-21,a3a6d79508,none,high,"dead research prototype; lineage-driven fault injection concept"
C32,OpenDST repo,https://github.com/pingidentity/opendst/tree/5d6ec3b3c6,repo,2026-07-16,2026-07-21,5d6ec3b3c6,Apache-2.0,medium,"Java DST via bytecode instrumentation; new entrant validating market"
C33,Hiisi repo,https://github.com/penberg/hiisi/tree/fe72bfd90f,repo,2024-08-12,2026-07-21,fe72bfd90f,MIT,medium,"small Rust TigerBeetle-style DST PoC; spiritual sibling"
C34,awesome-deterministic-simulation-testing,https://github.com/ivanyu/awesome-deterministic-simulation-testing/tree/b4c2732880,list,2026-04-29,2026-07-21,b4c2732880,CC-BY-4.0,medium,"curated DST resource list"
C35,promptfoo repo,https://github.com/promptfoo/promptfoo/tree/7f6cdd8851,repo,2026-07-21,2026-07-21,7f6cdd8851,MIT,medium,"agent eval/red-team; no determinism"
C36,deepeval repo,https://github.com/confident-ai/deepeval/tree/c6293c1201,repo,2026-07-21,2026-07-21,c6293c1201,Apache-2.0,medium,"conversation_simulator.py = LLM role-play, not DST"
C37,giskard repo,https://github.com/giskard-ai/giskard/tree/b6098b395e,repo,2026-07-21,2026-07-21,b6098b395e,Apache-2.0,low,"LLM scan"
C38,agentops repo,https://github.com/agentops-ai/agentops/tree/f8e907b92d,repo,2026-06-25,2026-07-21,f8e907b92d,MIT,medium,"agent trace observability; 'replay' = viewing, not re-execution"
C39,openai/evals repo,https://github.com/openai/evals/tree/8eac7a7de5,repo,2026-04-14,2026-07-21,8eac7a7de5,NOASSERTION,low,"legacy eval registry"
C40,vibe-halt DESIGN.md (local),/Users/dhyana/vibe-halt/DESIGN.md,doc,2026-07-20,2026-07-21,84f911e585b11e366c4185b5c301de6e088d07b7,none,internal,"D0/D1/D2 grades, decision tape, seed tree, multiverse + shrinker spec (labeled Draft)"
